spelling; nchar; SUBTLEXWF; dominant_pos
duurste; 7; 2.42; ADJ
trompet; 7; 2.68; N
uitkiest; 8; 0.57; WW
geld; 4; 793.61; N
genoeg; 6; 601.68; BW
kapper; 6; 11.75; N
drukke; 6; 7.98; ADJ
teamleider; 10; 1.83; N
ervaring; 8; 47.61; N
joke; 4; 0.34; SPEC
spaanse; 7; 10.45; ADJ
tamboerijn; 10; 0.43; N
speelt; 6; 86.97; WW
liefst; 6; 3.70; BW
vooraan; 7; 7.16; BW
behulpzame; 10; 0.48; ADJ
serveerster; 11; 9.86; N
eenvoudige; 10; 9.44; ADJ
boerin; 6; 0.64; N
hield; 5; 150.75; WW
netjes; 6; 30.05; ADJ
winkel; 6; 65.13; N
werden; 6; 104.48; WW
hippe; 5; 2.13; ADJ
brillen; 7; 0.89; N
verkocht; 8; 56.60; WW
behoorlijk; 10; 41.25; ADJ
stugge; 6; 0.18; ADJ
diafragma; 9; 0.34; N
buikholte; 9; 0.09; N
en; 2; 13987.49; VG
én; 2; 4.46; VG
èn; 2; 0.64; VG
borstholte; 10; 0.25; N
scheidt; 7; 6.24; WW
belangrijk; 10; 170.00; ADJ
neem; 4; 657.43; WW
boer; 4; 14.77; N
kleine; 6; 268.67; ADJ
biggetje; 8; 1.26; N
voert; 5; 12.46; WW
serieus; 7; 93.96; ADJ
kwade; 5; 14.50; ADJ
haatte; 6; 15.23; WW
richard; 7; 41.71; SPEC
oudere; 6; 16.97; ADJ
dieren; 6; 54.47; N
verzorgde; 9; 1.69; WW
ging; 4; 504.17; WW
hen; 3; 328.98; VNW
hén; 3; 0.11; N
verzamelen; 10; 16.33; WW
zielige; 7; 11.11; ADJ
bangerik; 8; 0.98; N
tandarts; 8; 14.50; N
inschakelde; 11; 0.07; WW
heftige; 7; 1.99; ADJ
pijn; 4; 266.16; N
afgelopen; 9; 96.43; WW
maand; 5; 93.64; N
gewonde; 7; 7.18; ADJ
paragnost; 9; 0.30; N
vele; 4; 44.68; VNW
complicaties; 12; 3.02; N
buurman; 7; 13.26; N
zus; 3; 131.03; N
psychose; 8; 1.39; N
beter; 5; 690.59; ADJ
keek; 4; 74.18; WW
broer; 5; 245.62; N
grote; 5; 485.37; ADJ
takken; 6; 3.66; N
vuur; 4; 100.57; N
gebruikte; 9; 32.75; WW
ervaren; 7; 12.87; WW
agent; 5; 186.58; N
daar; 4; 2507.05; VNW
dáár; 4; 0.85; N
liep; 4; 71.37; WW
toerist; 7; 3.91; N
gered; 5; 94.70; WW
makelaars; 9; 1.23; N
nieuwe; 6; 411.74; ADJ
kopers; 6; 2.95; N
gehaaid; 7; 0.64; ADJ
lekker; 6; 276.15; ADJ
biertje; 7; 34.90; N
gemaakt; 7; 277.73; WW
gerst; 5; 0.50; N
eigenaar; 8; 33.57; N
eerste; 6; 471.49; TW
éérste; 6; 0.11; TW
ontving; 7; 3.84; WW
knipoogde; 9; 0.66; WW
heerlijke; 9; 18.20; ADJ
jam; 3; 5.03; N
verse; 5; 11.27; ADJ
bramen; 6; 0.48; N
maakt; 5; 543.20; WW
verhuizen; 9; 28.15; WW
jonge; 5; 78.21; ADJ
dief; 4; 29.96; N
vluchtte; 8; 6.70; WW
paspoort; 8; 18.43; N
gestolen; 8; 96.94; WW
verkoper; 8; 9.51; N
moderne; 7; 14.86; ADJ
telefoon; 8; 156.92; N
aanprees; 8; 0.02; WW
verdiende; 9; 21.45; WW
orthopeed; 9; 0.09; N
blessure; 8; 1.28; N
behandelt; 9; 13.63; WW
weinig; 6; 110.45; VNW
benul; 5; 2.93; N
secretaresse; 12; 13.77; N
geeft; 5; 330.92; WW
advocaat; 8; 102.88; N
mannelijke; 10; 8.90; ADJ
beambte; 7; 0.69; N
brief; 5; 73.84; N
wijze; 5; 25.18; N
oude; 4; 273.34; ADJ
ieders; 6; 5.47; VNW
dromen; 6; 77.84; N
uitlegt; 7; 1.78; WW
komt; 4; 1331.92; WW
aardige; 7; 36.47; ADJ
docent; 6; 3.41; N
onderwijst; 10; 0.48; WW
groene; 6; 28.88; ADJ
zijden; 6; 5.79; ADJ
pyjama; 6; 5.88; N
kast; 4; 30.05; N
ligt; 4; 277.27; WW
mag; 3; 1058.17; WW
je; 2; 36608.94; VNW
jé; 2; 0.23; N
lenen; 5; 35.33; WW
nichtje; 7; 11.02; N
jaloers; 7; 42.90; ADJ
dit; 3; 4722.59; VNW
dít; 3; 0.16; WW
mooie; 5; 256.28; ADJ
potlood; 7; 5.44; N
ook; 3; 2762.10; BW
óók; 3; 0.59; BW
alleen; 6; 1469.24; BW
alléén; 6; 0.27; N
wilde; 5; 721.67; WW
honden; 6; 51.34; N
mogen; 5; 200.83; WW
pitbulls; 8; 0.32; N
echte; 5; 227.22; ADJ
échte; 5; 1.14; ADJ
taaie; 5; 3.91; ADJ
doorzet; 7; 0.78; WW
plekje; 6; 16.26; N
rij; 3; 84.84; N
hondje; 6; 10.79; N
dikke; 5; 43.91; ADJ
duiven; 6; 5.58; N
opjaagt; 7; 0.37; WW
wild; 4; 25.41; ADJ
door; 4; 1455.70; VZ
dóór; 4; 0.21; BW
heel; 4; 1038.77; ADJ
scherpe; 7; 6.63; ADJ
bochten; 7; 1.83; N
griekenland; 11; 6.91; SPEC
voorkomen; 9; 35.45; WW
gebeuren; 8; 198.20; WW
ongelukken; 10; 6.65; N
vrouw; 5; 821.67; N
prachtige; 9; 60.30; ADJ
tekeningen; 10; 8.07; N
vanaf; 5; 143.79; VZ
dinsdag; 7; 22.02; SPEC
kunstacademie; 13; 1.35; N
sonja; 5; 2.68; SPEC
verbaasd; 8; 17.63; WW
moeder; 6; 652.49; N
overige; 7; 1.90; ADJ
biscuitjes; 10; 0.46; N
prullenbak; 10; 1.39; N
gooide; 6; 20.74; WW
politieagent; 12; 12.99; N
peetoom; 7; 0.43; N
snelste; 7; 7.68; ADJ
naakte; 6; 8.10; ADJ
gearresteerd; 12; 40.89; WW
reporter; 8; 3.43; N
vermoeide; 9; 1.60; WW
ballerina; 9; 2.01; N
extra; 5; 60.58; ADJ
vraagt; 6; 103.20; WW
kansloos; 8; 2.88; ADJ
beroemdheid; 11; 4.25; N
wegstuurt; 9; 0.55; WW
wachtende; 9; 0.55; WW
woord; 5; 129.09; N
staan; 5; 421.75; WW
clown; 5; 11.66; N
zonnige; 7; 3.91; ADJ
terras; 6; 3.20; N
wraak; 5; 44.02; N
auto; 4; 458.00; N
passende; 8; 1.78; WW
besteld; 7; 17.81; WW
mechanicus; 10; 0.18; N
rood; 4; 48.59; ADJ
verzorgt; 8; 3.22; WW
last; 4; 53.49; N
ontstoken; 9; 2.17; WW
pukkels; 7; 0.39; N
juf; 3; 4.71; N
berispte; 8; 0.16; WW
jongetje; 8; 18.71; N
gammele; 7; 0.41; ADJ
drukknop; 8; 0.07; N
indrukte; 8; 0.02; WW
overvaller; 10; 2.22; N
stal; 4; 22.07; N
alle; 4; 538.61; VNW
allé; 4; 0.09; SPEC
álle; 4; 0.05; VNW
kostbaarheden; 13; 0.75; N
verbaasde; 9; 1.92; WW
belegde; 7; 0.25; WW
bolletje; 8; 0.75; N
aanrecht; 8; 1.65; N
vers; 4; 17.86; ADJ
margriet; 8; 0.11; N
periode; 7; 13.90; N
dan; 3; 4297.95; BW
dán; 3; 0.09; WW
zat; 3; 339.98; WW
vakantie; 8; 55.71; N
zij; 3; 755.51; VNW
zíj; 3; 0.14; N
schreeuw; 8; 15.30; SPEC
barbaar; 7; 2.04; N
uitbracht; 9; 0.16; WW
collega; 7; 23.42; N
ingedeeld; 9; 1.28; WW
vroege; 6; 7.82; ADJ
dienst; 6; 92.73; N
protest; 7; 10.29; N
hap; 3; 9.17; N
groente; 7; 4.69; N
zeldzame; 8; 6.22; ADJ
plantje; 7; 0.78; N
venster; 7; 3.45; N
water; 5; 244.50; N
nodig; 5; 1038.02; ADJ
luxueuze; 8; 0.82; ADJ
banket; 6; 2.95; N
net; 3; 1005.36; BW
nèt; 3; 0.30; WW
nét; 3; 0.21; WW
gebracht; 8; 79.74; WW
tor; 3; 0.87; SPEC
oom; 3; 108.78; N
henk; 4; 0.78; SPEC
onzekere; 8; 1.85; ADJ
blondine; 8; 2.29; N
uitnodigde; 10; 1.07; WW
lachen; 6; 88.89; WW
verdachte; 9; 44.11; N
pakketje; 8; 5.15; N
opende; 6; 7.96; WW
ondanks; 7; 31.76; VZ
zware; 5; 50.86; ADJ
tegenslag; 9; 3.84; N
iedereen; 8; 698.71; VNW
ervaart; 7; 1.33; WW
gaan; 4; 2650.41; WW
gáán; 4; 0.07; WW
meeste; 6; 65.45; VNW
gewoon; 6; 1007.99; ADJ
onstuimige; 10; 0.48; ADJ
tieners; 7; 7.20; N
valt; 4; 152.99; WW
doorgaans; 9; 1.74; BW
doen; 4; 2677.85; WW
mannen; 6; 380.29; N
strakke; 7; 4.57; ADJ
bandana; 7; 0.18; N
hoofd; 5; 274.05; N
stoer; 5; 11.25; ADJ
gevatte; 7; 0.55; WW
brunette; 8; 2.61; N
zangeres; 8; 5.85; N
beoordeelt; 10; 1.17; WW
partijdig; 9; 0.34; ADJ
toch; 4; 1693.53; BW
tóch; 4; 0.48; BW
bloemist; 8; 1.83; N
geschikte; 9; 6.70; ADJ
sollicitant; 11; 0.27; N
uitnodigt; 9; 1.12; WW
tamme; 5; 0.55; ADJ
poema; 5; 1.10; N
loopt; 5; 137.07; WW
gevaarlijk; 10; 92.27; ADJ
vera; 4; 6.86; SPEC
aaien; 5; 2.10; WW
liet; 4; 169.25; WW
puppy; 5; 5.60; N
schrikken; 9; 28.70; WW
pagina; 6; 12.69; N
verkeerde; 9; 91.81; ADJ
over; 4; 2702.21; VZ
eendenjacht; 11; 0.30; N
blinde; 6; 12.01; ADJ
typiste; 7; 0.66; N
handicap; 8; 3.38; N
werkte; 6; 81.75; WW
antwoord; 8; 140.11; N
resultaten; 10; 15.30; N
logen; 5; 1.05; N
lieten; 6; 24.81; WW
tendens; 7; 0.30; N
zien; 4; 1538.80; WW
kleuter; 7; 1.65; N
flinke; 6; 17.45; ADJ
pruillip; 8; 0.11; N
doelwit; 7; 25.57; N
tijger; 6; 11.69; N
gekozen; 7; 39.40; WW
bos; 3; 46.51; N
choreograaf; 11; 0.85; N
danser; 6; 5.03; N
uitschold; 9; 0.34; WW
reden; 5; 163.67; N
hoorde; 6; 182.05; WW
arresteerde; 11; 2.33; WW
werd; 4; 518.07; WW
wérd; 4; 0.02; WW
immens; 6; 1.12; ADJ
afgevoerd; 9; 1.56; WW
bonus; 5; 7.32; N
uitgedeeld; 10; 1.56; WW
bestuur; 7; 12.46; N
opgemerkt; 9; 7.27; WW
leerling; 8; 12.99; N
verhoord; 8; 4.12; WW
vermiste; 8; 10.61; ADJ
decaan; 6; 4.53; N
vermoord; 8; 334.74; WW
zwanger; 7; 62.77; ADJ
kritieke; 8; 2.97; ADJ
toestand; 8; 28.08; N
opgenomen; 9; 26.50; WW
ziekenhuis; 10; 109.95; N
vergeten; 8; 230.44; WW
dichter; 7; 27.24; ADJ
lezer; 5; 1.53; N
vreest; 6; 3.52; WW
wanhopig; 8; 17.86; ADJ
beschermheer; 12; 0.73; N
delhi; 5; 0.53; SPEC
heilige; 7; 39.72; ADJ
tempel; 6; 14.66; N
bouwde; 6; 5.83; WW
gestorven; 9; 58.82; WW
houten; 6; 9.06; ADJ
bureau; 6; 66.93; N
knullig; 7; 0.16; ADJ
elkaar; 6; 578.08; VNW
gezet; 5; 62.61; WW
ineen; 5; 2.08; BW
magere; 6; 6.43; ADJ
dronkelap; 9; 2.26; N
uitsmijter; 10; 1.62; N
ontloopt; 8; 1.58; WW
iets; 4; 2245.19; VNW
íets; 4; 0.32; N
iéts; 4; 0.09; N
verbergen; 9; 34.69; WW
geschreven; 10; 68.19; WW
brievenbus; 10; 4.25; N
zie; 3; 854.41; WW
zelden; 6; 12.60; BW
ster; 4; 43.77; N
voldoende; 9; 23.83; ADJ
privacy; 7; 13.31; N
acht; 4; 111.07; TW
wordt; 5; 1025.05; WW
vaak; 4; 180.02; ADJ
gebeld; 6; 138.26; WW
omstanders; 10; 0.71; N
kritisch; 8; 2.22; ADJ
maken; 5; 957.27; WW
belachelijk; 11; 58.38; ADJ
vlotte; 6; 1.01; ADJ
babbel; 6; 1.85; N
kan; 3; 4025.85; WW
kán; 3; 0.41; WW
kàn; 3; 0.05; WW
sollicitaties; 13; 0.55; N
helpt; 5; 93.64; WW
wel; 3; 4103.87; BW
wél; 3; 0.09; BW
wèl; 3; 0.09; N
vincent; 7; 13.93; SPEC
portretten; 10; 1.19; N
geschilderd; 11; 6.13; WW
kon; 3; 620.84; WW
helaas; 6; 69.34; BW
niks; 4; 831.61; VNW
verdienen; 9; 64.14; WW
artiesten; 9; 4.48; N
moeten; 6; 1776.15; WW
moéten; 6; 0.09; WW
móeten; 6; 0.07; WW
huilende; 8; 1.49; WW
babies; 6; 1.53; N
route; 5; 20.28; N
langs; 5; 170.30; VZ
plassen; 7; 17.38; WW
langer; 6; 104.16; ADJ
verwacht; 8; 123.30; WW
heks; 4; 26.76; N
toekomst; 8; 103.45; N
voorspelde; 10; 2.10; WW
hard; 4; 159.46; ADJ
chauffeur; 9; 29.77; N
verstopte; 9; 5.85; WW
buskruit; 8; 1.97; N
ontdekt; 7; 53.28; WW
onervaren; 9; 2.84; ADJ
musicus; 7; 1.51; N
dure; 4; 16.79; ADJ
zwarte; 6; 104.39; ADJ
piano; 5; 14.11; N
gestemd; 7; 6.77; WW
zenuwachtig; 11; 20.15; ADJ
