spelling; nchar; SUBTLEXWF; dominant_pos
opzetten; 8; 13.08; WW
tentje; 6; 1.07; N
storm; 5; 29.61; N
rustige; 7; 7.68; ADJ
klas; 4; 48.98; N
les; 3; 66.43; N
geven; 5; 475.61; WW
klopte; 6; 7.59; WW
tabak; 5; 5.26; N
pijp; 4; 13.81; N
asbak; 5; 3.06; N
vakkundige; 10; 0.14; ADJ
nico; 4; 3.59; SPEC
kies; 4; 35.35; WW
wortels; 7; 5.74; N
vliegreis; 9; 0.16; N
mocht; 5; 103.11; WW
cockpit; 7; 5.21; N
kijken; 6; 495.23; WW
mobiele; 7; 9.51; ADJ
overdracht; 10; 3.29; N
steeds; 6; 476.75; BW
iedere; 6; 84.38; VNW
donderdag; 9; 23.23; SPEC
lange; 5; 90.10; ADJ
bokser; 6; 6.45; N
woog; 4; 1.60; WW
negentig; 8; 3.29; TW
kilo; 4; 28.49; N
schoon; 6; 49.28; ADJ
haak; 4; 12.65; N
brute; 5; 2.63; ADJ
beroving; 8; 3.09; N
vastgelegd; 10; 3.93; WW
camera; 6; 60.83; N
boven; 5; 244.76; VZ
ingang; 6; 16.35; N
midden; 6; 47.29; BW
hangt; 5; 67.19; WW
poster; 6; 3.75; N
zilveren; 8; 10.15; ADJ
lijst; 5; 66.77; N
winst; 5; 21.63; N
producten; 9; 4.41; N
basketballers; 13; 0.23; N
tribune; 7; 2.70; N
begeleid; 8; 4.53; WW
coach; 5; 31.81; N
vader; 5; 795.62; N
rechte; 6; 9.31; ADJ
avondeten; 9; 9.47; N
waarzegster; 11; 1.39; N
bijgelovige; 11; 1.10; ADJ
glazen; 6; 16.03; N
bol; 3; 9.81; N
atleet; 6; 2.58; N
beschuldigd; 11; 14.27; WW
gebruik; 7; 105.28; WW
doping; 6; 0.50; N
vlak; 4; 47.73; BW
schat; 5; 264.03; N
zeebodem; 8; 1.46; N
gehaald; 7; 55.02; WW
duitsland; 9; 24.38; SPEC
dader; 5; 30.25; N
bewaart; 7; 6.24; WW
goudvoorraad; 12; 0.14; N
kluis; 5; 35.33; N
grond; 5; 110.25; N
eet; 3; 115.99; WW
gezin; 5; 79.85; N
meestal; 7; 61.54; BW
aanleiding; 10; 3.34; N
melding; 7; 4.85; N
fanatieke; 9; 0.89; ADJ
anonieme; 8; 4.83; ADJ
tip; 3; 16.26; N
zakken; 6; 50.58; WW
blunder; 7; 2.77; N
gistermiddag; 12; 1.05; BW
berisping; 9; 0.62; N
baas; 4; 167.21; N
slechte; 7; 119.21; ADJ
advies; 6; 33.23; N
ria; 3; 0.53; SPEC
avonduren; 9; 0.11; N
tennissen; 9; 2.06; WW
mooi; 4; 616.06; ADJ
zonnen; 6; 2.58; WW
chique; 6; 5.10; ADJ
dineetje; 8; 1.44; N
goot; 4; 6.06; N
inge; 4; 0.14; SPEC
karaf; 5; 0.18; N
kristal; 7; 4.87; N
breken; 6; 44.00; WW
antieke; 7; 2.63; ADJ
vaas; 4; 4.57; N
toonden; 7; 1.26; WW
berouw; 6; 5.79; N
iemand; 6; 1230.61; VNW
iémand; 6; 0.07; WW
gewerkt; 7; 74.02; WW
startte; 7; 2.24; WW
voorzitter; 10; 19.03; N
voltallige; 10; 0.30; ADJ
ontslagen; 9; 54.72; WW
wegens; 6; 30.46; VZ
wangedrag; 9; 1.53; N
wind; 4; 50.58; N
dorre; 5; 0.55; ADJ
bladeren; 8; 6.43; N
inspanning; 10; 3.54; N
arbeider; 8; 3.16; N
afgerond; 8; 4.60; WW
afloop; 6; 7.80; N
bellen; 6; 228.77; WW
taxi; 4; 50.84; N
werknemers; 10; 8.32; N
zoekt; 5; 76.61; WW
arrogante; 9; 5.49; ADJ
contact; 7; 92.52; N
verre; 5; 8.74; ADJ
reizen; 6; 32.38; WW
wellicht; 8; 28.13; BW
vliegende; 9; 9.74; WW
schotel; 7; 5.51; N
toespraak; 9; 12.35; N
toenemend; 9; 0.30; WW
vandalisme; 10; 1.92; N
leveren; 7; 18.80; WW
studenten; 9; 22.18; N
commentaar; 10; 14.41; N
vrolijk; 7; 31.51; ADJ
spelend; 7; 0.75; WW
paarse; 6; 4.14; ADJ
trommels; 8; 1.03; N
liepen; 6; 12.69; WW
school; 6; 246.95; N
vertrokken; 10; 41.92; WW
omdat; 5; 869.39; VG
zeer; 4; 149.85; BW
zéér; 4; 0.46; N
onbeleefd; 9; 12.17; ADJ
soldaten; 8; 51.75; N
gebukt; 6; 1.39; WW
touwen; 6; 6.31; N
pauze; 5; 27.19; N
scholieren; 10; 1.12; N
lekkers; 7; 7.80; ADJ
kantine; 7; 4.53; N
schooljaar; 10; 1.72; N
logeren; 7; 12.74; WW
hand; 4; 199.91; N
dropje; 6; 0.18; N
zusjes; 6; 4.46; N
vrijstaande; 11; 0.09; WW
boerderij; 9; 29.57; N
royale; 6; 0.69; ADJ
achtertuin; 10; 6.24; N
wonen; 5; 107.62; WW
kennissen; 9; 3.41; N
schoonzus; 9; 2.13; N
lekkages; 8; 0.07; N
verhelpen; 9; 3.00; WW
vrome; 5; 0.89; ADJ
loodgieter; 10; 5.53; N
voornaamste; 11; 3.73; ADJ
onderzoek; 9; 109.88; N
kun; 3; 430.21; WW
kún; 3; 0.02; N
publicatie; 10; 1.21; N
raadplegen; 10; 2.38; WW
reis; 4; 90.37; N
jungle; 6; 17.79; N
groep; 5; 74.73; N
apen; 4; 14.32; N
beest; 5; 52.55; N
moeders; 7; 33.07; N
overstuur; 9; 14.93; ADJ
zaal; 4; 15.41; N
hotel; 5; 88.73; N
vieren; 6; 47.70; WW
tocht; 5; 9.54; N
bergen; 6; 34.19; N
bereiken; 8; 64.42; WW
wandelaars; 10; 0.43; N
camping; 7; 1.53; N
mede; 4; 3.86; BW
dankzij; 7; 46.70; VZ
uitstekende; 11; 9.67; ADJ
organisatie; 11; 19.14; N
dictator; 8; 2.61; N
arriveerde; 10; 3.75; WW
schreeuwden; 11; 1.85; WW
leuzen; 6; 0.32; N
drogist; 7; 1.05; N
betalen; 7; 162.34; WW
klanten; 7; 37.82; N
elektronisch; 12; 1.88; ADJ
blije; 5; 3.06; ADJ
jongeren; 8; 9.28; ADJ
intens; 6; 6.04; ADJ
plezier; 7; 125.20; N
woonplaats; 10; 1.74; N
